物料	物料号	产品名称	型号规格	型号规格（中）	物料特征	六位代码	供应商代码	供应商名称	基本单位	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	物流毛重	物流毛重单位	物流体积	物流体积单位	物流长度	物流宽度	物流高度	物流尺寸单位	SN标志	基本单位 /主包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	基本单位 /次包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	经销商价格	SRP	始销日期	停止日期	下载日期	产品组	业务部门	物料组1
27-5057-90	P27505790	VPCEA45YC/WI(白)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A			0	0	0	0	0	0	0	0	0	0	0	0	0	0		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-91	P27505791	VPCEA45YC/BI(黑)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-92	P27505792	VPCEA48EC/B(黑)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	3.8	KG	15520	CCM	48.5	10	32	CM	X	60	0	0	0	0	0	0	0	0	0	0	0	0	0	6174		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-93	P27505793	VPCEA48EC/L(蓝)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	3.8	KG	15520	CCM	48.5	10	32	CM	X	60	0	0	0	0	0	0	0	0	0	0	0	0	0	6174		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-94	P27505794	VPCEA48EC/P(粉)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	3.8	KG	15520	CCM	48.5	10	32	CM	X	60	0	0	0	0	0	0	0	0	0	0	0	0	0	6174		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-95	P27505795	VPCEA48EC/W(白)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	3.8	KG	15520	CCM	48.5	10	32	CM	X	60	0	0	0	0	0	0	0	0	0	0	0	0	0	6174		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-96	P27505796	VPCEA4AYC/PI(哑光粉)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	3.8	KG	15479.1	CCM	48.6	9.8	32.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4319		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-97	P27505797	VPCEA4AYC/WI(哑光白)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	3.8	KG	15479.1	CCM	48.6	9.8	32.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4319		20010101	0	20110829	VAIO	CSM	VAIO
27-5057-98	P27505798	VPCEA4AYC/BI(哑光黑)	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	2.35	2.35	0.002715647	0.3458	0.2387	0.0329	3.8	KG	15479.1	CCM	48.6	9.8	32.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4319		20010101	0	20110829	VAIO	CSM	VAIO
27-5074-90	P27507490	VGN-P39J/U(墨壁片晶)	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6563.75	CCM	17.8	12.5	29.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9499		20010101	0	20110829	VAIO	CSM	VAIO
27-5074-91	P27507491	VGN-P37J/G（绿）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6563.75	CCM	17.8	12.5	29.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6649		20010101	0	20110829	VAIO	CSM	VAIO
27-5074-92	P27507492	VGN-P37J/Q（黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6563.75	CCM	17.8	12.5	29.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6649		20010101	0	20110829	VAIO	CSM	VAIO
27-5074-93	P27507493	VGN-P37J/N（金）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	1.5	KG	6563.75	CCM	17.8	12.5	29.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6649		20010101	0	20110829	VAIO	CSM	VAIO
